label,x_px,y_px,area_px,color_l,color_a,color_b,circularity,eccentricity,extent,cluster_id,is_tree,lat,lon
1,209.09944237918216,65.04089219330855,6456.0,29.557066414320087,-7.017460632872168,9.43617435573442,0.5086732044612152,0.7051803758347437,0.7015866116061725,-1,True,,
2,269.6048550236008,57.80579905596763,4449.0,25.95243941875567,-8.437631236377353,9.062862945904524,0.49175860250665254,0.7416324694704658,0.6984301412872841,-1,True,,
3,309.65913320925284,203.84392448816803,3761.0,28.702555823706472,-7.474357410657872,9.728755086696312,0.574894988521477,0.4553836002529808,0.7474165341812401,-1,True,,
4,156.00154958677686,93.4767561983471,1936.0,27.488830943811646,-8.027424257897152,9.054902257975838,0.6534475158437949,0.5172725159109717,0.7159763313609467,-1,True,,
5,260.95534787123574,194.14434060228453,1926.0,30.62701885581221,-7.119939754058842,10.530510786754625,0.6051750966295361,0.6203723463004994,0.7899917965545529,-1,True,,
6,11.498663101604278,153.1149732620321,748.0,25.415536591430648,-8.73337086538675,9.690593872699226,0.6058110735086779,0.6495563643942056,0.8148148148148148,-1,True,,
7,10.323287671232876,178.0,365.0,31.315589373992626,-5.505533986287085,9.546247444403976,0.8343966379293006,0.6679652532709855,0.8588235294117647,-1,True,,
8,11.39218523878437,202.27785817655572,691.0,24.35709371032089,-8.413170065627439,8.466526137486717,0.613062840930173,0.7017550509152761,0.7312169312169312,-1,True,,
9,87.6201749871333,51.27946474523932,1943.0,24.813261002521926,-8.353786159970882,8.17599582966466,0.5675796124226482,0.45356184140402955,0.7196296296296296,-1,True,,
10,158.52513966480447,132.28282122905028,1432.0,26.142355934899218,-9.006526347833171,8.60260170547349,0.6074300710036596,0.7557204553843845,0.7946725860155383,-1,True,,
11,108.3293216630197,140.31619256017507,1828.0,26.77373415062318,-7.536028290594317,9.23949661235125,0.5444354926907713,0.4321318470788112,0.6782931354359926,-1,True,,
12,21.329850746268658,11.219402985074627,670.0,23.653524943501548,-7.881866609962985,8.673099593471344,0.5096303929530125,0.6408185276243812,0.6467181467181468,-1,True,,
13,93.78654970760233,5.081871345029239,342.0,21.494642625346682,-9.53518102586933,7.567026488869123,0.6407277341642581,0.9157046499414753,0.8636363636363636,-1,True,,
14,68.42241379310344,80.35237068965517,928.0,25.25269902259436,-8.124792745017844,8.70882054285583,0.542800417332308,0.8489285716524608,0.6530612244897959,-1,True,,
15,270.4269662921348,151.02962206332992,979.0,22.80726385839874,-9.298435406572613,8.157894014622975,0.5096499895510596,0.3782889800086487,0.6453526697429136,-1,True,,
16,91.4963503649635,19.29440389294404,411.0,23.68794017762338,-7.9902019891164455,8.595563436210304,0.760952857442823,0.8255463058062437,0.802734375,-1,True,,
17,158.09333333333333,165.93916666666667,1200.0,25.772226909080377,-9.082649702345176,9.754522175387441,0.41159080316519503,0.7824373255829923,0.6486486486486487,-1,True,,
18,77.8125,152.435546875,512.0,25.84017181608968,-5.341795039137123,8.236682569620639,0.566528513372396,0.7036436666975114,0.6826666666666666,-1,True,,
19,156.12774869109947,26.679581151832462,955.0,25.895078442117107,-5.771270131787519,7.611923516945524,0.470448591008744,0.7640142624812555,0.5766908212560387,-1,True,,
20,360.4192139737991,220.844250363901,687.0,24.59031797754593,-7.184246430822679,8.913333612189131,0.6353365909762388,0.693486158939165,0.7067901234567902,-1,True,,
21,254.96654929577466,233.30281690140845,568.0,27.044465868094573,-7.674220589599133,9.939324605617054,0.6506270329588552,0.6456662197371282,0.6786140979689367,-1,True,,
22,308.5604938271605,246.11358024691359,405.0,23.026412046144472,-9.60363418217534,9.17366088785784,0.6617298218498479,0.8513761405645065,0.6617647058823529,-1,True,,
23,230.90689655172415,200.62413793103448,290.0,20.914675152240584,-8.590093300807649,9.11332216936077,0.730568958085422,0.8205619311066935,0.8055555555555556,-1,True,,
24,126.84590690208668,45.64365971107544,623.0,23.204602791405346,-7.3524973993963725,7.291587975699519,0.5379204553177273,0.6951502224914644,0.6089931573802542,-1,True,,
25,21.72093023255814,43.74263565891473,645.0,24.478191426668754,-6.4549044220020635,8.992869158924961,0.4480246888687578,0.3135427055124133,0.4980694980694981,-1,True,,
26,238.89634146341464,132.3617886178862,492.0,28.53791536379049,-3.528384606203402,9.201312230259619,0.4840358213593143,0.4031567625592128,0.5521885521885522,-1,True,,
27,304.66144200626957,104.94984326018809,319.0,20.783476828072573,-7.391959036201427,7.724549889243053,0.5798217546716453,0.8154020852882071,0.6816239316239316,-1,True,,
28,302.06382978723406,260.6489361702128,94.0,24.808340888571983,-7.335859223900734,9.112621477204026,0.8314390306978481,0.6843691641241658,0.746031746031746,-1,True,,
29,49.25,91.29166666666667,120.0,20.431545107534813,-8.041612455251535,6.242423500353835,0.8075291079633888,0.7844466929007412,0.6153846153846154,-1,True,,
30,313.40909090909093,35.156565656565654,198.0,20.11111964671643,-8.3809696217895,7.191833062133571,0.6677636926583889,0.6470830845972586,0.5892857142857143,-1,True,,
31,0.9473684210526315,2.6842105263157894,19.0,25.356429379114967,-9.491618451660168,8.150573595013878,1.0,0.8955607245522076,0.9047619047619048,-1,True,,
32,310.06666666666666,4.152380952380953,105.0,17.804665708964546,-7.990650490427877,5.6024230091286285,0.8273535948091619,0.3324046093012568,0.7342657342657343,-1,True,,
33,3.9081632653061225,105.37755102040816,98.0,21.3231067285719,-7.637828873692912,7.951038244042452,0.8464979829455366,0.4049452748127913,0.7538461538461538,-1,True,,
34,311.589519650655,18.467248908296945,229.0,22.445979009677494,-7.562473948981519,8.337849282914512,0.6838435863692864,0.6987770292381905,0.6058201058201058,-1,True,,
35,34.333333333333336,88.45911949685535,159.0,17.722816266567058,-6.594963229949953,5.140789025286722,0.7485978420509305,0.6216243795590345,0.5196078431372549,-1,True,,
36,142.4025974025974,228.01298701298703,154.0,17.675329621314635,-7.508910056227204,7.563164305037361,0.7240606654271454,0.693561652953545,0.5238095238095238,-1,True,,
37,153.21176470588236,3.3176470588235296,85.0,17.678232177961366,-7.604667383584699,6.560424642212318,0.7121646267961839,0.49709321831169434,0.53125,-1,True,,
38,405.14814814814815,227.62037037037038,108.0,17.924642878203912,-6.582594635207349,7.3425701756054975,0.7433786329620008,0.7885004679404505,0.675,-1,True,,
39,124.97938144329896,246.60824742268042,194.0,19.765845438808395,-3.925577210600367,7.022138531073884,0.7322894492433256,0.75659958324825,0.5705882352941176,-1,True,,
40,195.0297619047619,246.21428571428572,168.0,19.007942324315195,-5.321092807842429,8.93278014036537,0.7552653788940191,0.4860489904114145,0.6176470588235294,-1,True,,
41,107.69375,248.88125,160.0,18.921059316295164,-6.5937390709082635,7.442200735866376,0.6586961613441523,0.24585501567270168,0.4953560371517028,-1,True,,
42,336.46046511627907,53.14883720930233,215.0,19.508350252711388,-8.299908400151665,8.949444363681785,0.4788743725509056,0.8588724332408646,0.4976851851851852,-1,True,,
43,35.18867924528302,159.76100628930817,159.0,19.047238617189073,-8.345114467959728,8.63489919839091,0.6938376892306614,0.5317232997971918,0.49074074074074076,-1,True,,
44,55.872,246.2,125.0,13.549894168359105,-4.659251614038359,4.384590248718394,0.8644539083441102,0.7029887868243753,0.6377551020408163,-1,True,,
45,120.31858407079646,21.63716814159292,113.0,14.531697956406784,-6.687055976346863,6.851576261573663,0.9234718523172052,0.6088052995404122,0.6726190476190477,-1,True,,
46,142.03030303030303,245.8560606060606,132.0,20.117533584136293,-6.985161498574198,8.389490203670162,0.7629587882902433,0.4382171620363523,0.5892857142857143,-1,True,,
47,260.2631578947368,3.4342105263157894,76.0,17.01268429432514,-6.994285233896875,7.439577415679102,0.9166541808016669,0.7000058235759207,0.7916666666666666,-1,True,,
48,15.94954128440367,97.71559633027523,218.0,19.021184172682577,-7.187221320513039,8.10362981469533,0.4301354254438401,0.9311841943242726,0.5011494252873563,-1,True,,
49,342.5978260869565,105.71195652173913,184.0,16.719670334176104,-6.040269867030939,8.517335857593121,0.5278672678365353,0.9368625818807732,0.5257142857142857,-1,True,,
50,52.372549019607845,105.65686274509804,102.0,16.289855032794986,-6.488937255271147,7.681904316735306,0.8699454232107492,0.6777970802632064,0.6623376623376623,-1,True,,
51,33.50625,122.85625,160.0,17.421398759866346,-7.656355701729991,6.499508969051855,0.6238768966913473,0.7108889539834252,0.4444444444444444,-1,True,,
52,211.05263157894737,121.43157894736842,95.0,18.509840977313054,-8.114074099589525,8.243656788990128,0.8734164089947017,0.5320044618376342,0.7196969696969697,-1,True,,
53,278.92241379310343,121.32758620689656,116.0,16.693569362383315,-6.72727266277321,6.564072695253126,0.6519802696502701,0.772232557937596,0.5087719298245614,-1,True,,
54,33.90845070422535,139.83802816901408,142.0,21.98797675967871,-7.781235855331677,9.577754031541202,0.7245274849010942,0.5387083565329011,0.46405228758169936,-1,True,,
55,211.11340206185568,158.1340206185567,97.0,15.392916018729093,-6.039795946942317,6.487105356687166,0.7858231737061564,0.7375351267421574,0.5878787878787879,-1,True,,
56,52.154411764705884,160.59558823529412,136.0,17.92900177395572,-7.373753816095015,6.819317122264823,0.7404799336573884,0.569976223329392,0.5666666666666667,-1,True,,
57,177.0097087378641,190.3495145631068,103.0,14.250775255242852,-7.448029673538607,7.6250421616314545,0.8004049150554303,0.42769335566206945,0.5659340659340659,-1,True,,
58,352.09090909090907,193.875,88.0,17.017940051848715,-6.833195862756625,8.944626438591525,0.9241535308579828,0.4622094973875062,0.5714285714285714,-1,True,,
59,105.72321428571429,195.99107142857142,112.0,18.674011602468287,-6.99960352952108,7.896712446163731,0.7267786988436099,0.6748386551950836,0.5333333333333333,-1,True,,
60,56.57627118644068,212.96610169491527,118.0,14.243592957741662,-6.440831453283634,7.375591254351207,0.81604448947684,0.6897381700342736,0.6555555555555556,-1,True,,
61,107.81132075471699,228.78301886792454,106.0,15.231026883200734,-6.148509595636576,7.648952447694312,0.776406271635547,0.6693258931069116,0.5196078431372549,-1,True,,
62,178.83035714285714,245.32142857142858,112.0,17.207344001901145,-6.423093689118038,6.5798142740330166,0.7962854562048617,0.4263530962486213,0.5333333333333333,-1,True,,
63,91.3425925925926,246.7962962962963,108.0,13.35717807643764,-6.000391156499027,5.99526649430348,0.7990259310094183,0.6959543555440335,0.6428571428571429,-1,True,,
64,116.82222222222222,1.7555555555555555,45.0,19.826295980667627,-8.456743467234146,7.163877033445751,0.8189021102234637,0.8609996043882472,0.6818181818181818,-1,True,,
65,331.43703703703704,37.096296296296295,135.0,17.783766847411012,-7.171657515334635,8.797197991102431,0.7063881547045731,0.7276808459355028,0.6026785714285714,-1,True,,
66,15.452631578947368,71.4,95.0,17.07730090099438,-7.620753023620282,8.481633626521734,0.817535417846316,0.7339889949633908,0.4797979797979798,-1,True,,
