label,x_px,y_px,area_px,color_l,color_a,color_b,circularity,eccentricity,extent,vari,gli,gap_fraction,solidity,cluster_id,is_tree,lat,lon
1,282.9025506867234,190.78557413809213,10703.0,38.7561386146833,-29.381633403234357,15.529916582769019,0.5186852451578177,0.9424929978342109,0.6673525377229081,0.7816371380416832,0.321539381467012,0.4223115014481921,0.8803981245373036,-1,False,,
2,335.15837029054586,102.55083516392423,24127.0,40.10657133970558,-31.368838589083435,16.703980938287494,0.4388872230028326,0.7536853092227394,0.6038996796155387,0.792794728642533,0.35616025598031464,0.3188129481493762,0.8426879955293214,-1,False,,
3,916.4073028173639,51.46410980495173,15227.0,35.83661676964087,-27.995115818563285,14.126410457391687,0.5506172202035848,0.7289496804905189,0.7403967713702228,0.7484940369683499,0.3407208893958271,0.3323701320023642,0.8694187507137148,-1,False,,
4,312.96720461948473,280.5390139176784,13508.0,43.705261701416035,-33.935016730610485,19.380007013388308,0.5591187172888673,0.7556101527635269,0.6831537955798311,0.8378775828910414,0.37130191572410953,0.34009475866153394,0.8914994720168955,-1,False,,
5,306.19018691588786,229.00046728971964,2140.0,35.83846750630557,-28.50000605684779,14.458238067881355,0.24265064933686759,0.9957668656746643,0.8069381598793364,0.8073358765220113,0.3398890429687747,0.2985981308411215,0.9208261617900172,-1,False,,
6,128.27857483191275,215.83148922653396,18889.0,40.590327026051106,-30.679515982013744,17.20289858483403,0.514728128169607,0.7309328988532985,0.713869992441421,0.7299779238744066,0.34104382391482396,0.36936841547990895,0.8891451704010545,-1,False,,
7,815.9885898815932,54.03659849300323,4645.0,35.78027083747222,-29.97911783556778,17.486716430607206,0.6315794741388217,0.5968238450336162,0.6155579114762788,0.7244775992773064,0.3689916634761735,0.24413347685683529,0.8869581821653618,-1,False,,
8,40.452988047808766,171.82828685258963,5020.0,44.85828283534491,-37.20865234028679,24.652621237903407,0.6218252346386381,0.6737814839395287,0.7086391869000565,0.8309188999680884,0.4164129716960112,0.24322709163346612,0.8796215174347293,-1,False,,
9,789.1218383713757,121.45681677976557,6484.0,38.24772971918929,-31.479145486869168,16.78541618483669,0.4984108584509039,0.8544747372366609,0.608027006751688,0.8671152167422105,0.38720865236172414,0.2282541640962369,0.8258820532416252,-1,False,,
10,602.8614313908798,281.3315674665005,9627.0,39.47028589675015,-30.488901261028793,15.540523664699808,0.464345650096672,0.5254068373341781,0.6478901675752069,0.8478063797005317,0.349515040907082,0.3213877635815935,0.8574100463127895,-1,False,,
11,23.29110779930452,736.0571286636861,2013.0,40.94356211968554,-35.19156686758378,22.216147237560715,0.6695857412839992,0.73413210429169,0.6689930209371885,0.8688842014803321,0.42443922982249044,0.2126179831097864,0.9673234022104757,-1,False,,
12,968.019582801192,113.22051936994465,2349.0,29.272926971144603,-24.85653070664681,10.645569976661118,0.598495967505409,0.9334044593770826,0.7676470588235295,0.8735036092135133,0.3577056713140597,0.14857386121753935,0.8975926633549867,-1,False,,
13,584.5092812946216,130.07555925749642,8404.0,40.74605976253032,-31.81646879388616,18.66074973874609,0.4163744625191333,0.48633563014141024,0.5646711012564671,0.7783318556923204,0.3591381939742422,0.30616373155640175,0.8185448524398559,-1,False,,
14,755.2029169308814,184.16391883322765,6308.0,35.18862749953119,-27.95937809807987,14.623420353966987,0.5000303702967104,0.84987120063121,0.6893989071038251,0.7363404221797318,0.339237832773882,0.2901077996195307,0.8309840600711369,-1,False,,
15,699.9207097310784,509.02425838647076,7214.0,37.2966900513811,-31.08721970960243,16.610381004421633,0.5413874288523721,0.5679997719375222,0.648158131176999,0.8364426387380473,0.38235546538612997,0.21763238148045472,0.8484064447841938,-1,False,,
16,702.9222277972905,436.33341695935775,3986.0,36.24941816111238,-29.356506866382475,14.476971332672504,0.6195244281353346,0.5993803833139337,0.7007735583684951,0.8500312103086599,0.36979117273781553,0.2737079779227296,0.8842058562555457,-1,False,,
17,967.4627039627039,139.2051282051282,1716.0,40.331508740802406,-33.51837564530498,18.115752479354093,0.5402758299424713,0.9338547741940314,0.6206148282097649,0.9155180074430845,0.3972777934584306,0.21037296037296038,0.8701825557809331,-1,False,,
18,769.4854368932039,152.35339805825242,515.0,29.482344166364058,-23.141731037031647,8.29272694347276,0.3010140208347476,0.9920005133109414,0.8059467918622848,0.6780621521102572,0.2941848133211431,0.31844660194174756,0.9501845018450185,-1,False,,
19,657.654958677686,107.4383608815427,5808.0,36.2995080092669,-29.924012323861678,15.613084861855894,0.43282524241779413,0.7128416637769255,0.555045871559633,0.8572158157830602,0.3782252208167782,0.21539256198347112,0.7751234485519819,-1,False,,
20,959.1329940252268,308.73091391900863,4519.0,24.072000247314374,-18.15713821178016,6.756164955407834,0.5729298372123316,0.6463516126486821,0.7197005892658067,0.556632072167089,0.26916103761043036,0.3394556317769418,0.8715525554484088,-1,False,,
21,937.539322533137,183.45743740795288,3395.0,42.99167078820452,-34.90978166028474,19.54002024683836,0.6037862570625728,0.8117689164774972,0.7362828019952288,0.8768101103263681,0.39361763814730305,0.2892488954344624,0.8843448814795519,-1,False,,
22,750.556640625,437.19775390625,2048.0,34.137580249399136,-27.87366894220276,13.12318412615,0.5294787612424686,0.894571818662226,0.6660162601626016,0.8167285150993848,0.3524188433912059,0.26416015625,0.8362596978358514,-1,False,,
