label,x_px,y_px,area_px,color_l,color_a,color_b,circularity,eccentricity,extent,vari,gli,gap_fraction,solidity,cluster_id,is_tree,lat,lon
1,1462.5414538310413,51.98094302554028,5090.0,38.676751553185134,-18.70166426281283,19.471204547932892,0.5078078413755552,0.7957067869700166,0.616969696969697,0.32973646926785105,0.23212268493149232,0.3483300589390963,0.8355219960604071,-1,False,,
2,1494.7557142857142,61.89142857142857,700.0,28.124398108157518,-14.876288333430487,9.740372804234115,0.3217388352167473,0.9915937290408855,0.9210526315789473,0.55448212005198,0.24233646426416403,0.19999999999999996,0.9655172413793104,-1,False,,
3,1483.0442443226311,597.347689898199,2554.0,46.2962233479382,-32.882188261187316,41.12040319929276,0.5172737157371647,0.8728379017721192,0.766966966966967,0.35813905349542435,0.44894517515038457,0.1566170712607674,0.8923829489867225,-1,False,,
4,1395.6831132731063,598.0990271021543,5756.0,41.66300822867377,-31.907448558980523,36.73196001354503,0.5506477442995447,0.5458317350417841,0.7029799706888129,0.4638625456493016,0.47013836476807513,0.10215427380125086,0.8783763161910575,-1,False,,
5,1411.9616538131963,86.70715509854327,4668.0,38.98427263849091,-18.470336899565268,22.384310117140213,0.45923654153727234,0.4496180854307069,0.5703812316715543,0.29179782977185253,0.2462135586315896,0.32112253641816624,0.784801613987895,-1,False,,
6,1072.0168150346192,599.4277942631059,4044.0,48.501147033587664,-35.98093879144256,44.59764628021639,0.5368681691304245,0.39155103134572816,0.7384952520087655,0.3896921172030602,0.47833154500857306,0.10558852621167159,0.8678111587982833,-1,False,,
7,878.9494089834516,14.814184397163121,2115.0,33.71033194144497,-22.434482270191456,21.727149256486513,0.577599082022248,0.9060584481748168,0.762987012987013,0.4438631401751763,0.3502645556918449,0.13853427895981085,0.8939137785291631,-1,False,,
8,1274.8024236037934,603.9062170706006,1898.0,41.6173435610598,-34.31102574474295,38.3833774060997,0.5889627889438664,0.8254689113592282,0.5991161616161617,0.48028987442762505,0.513780744587345,0.05690200210748153,0.8642987249544627,-1,False,,
9,1307.0920593368237,623.6335078534031,2292.0,46.98205008505693,-33.62666003634196,42.26200320743718,0.6256942767807764,0.6480306776250345,0.6614718614718614,0.36067767169758885,0.45413121761815917,0.1361256544502618,0.8852838933951332,-1,False,,
10,967.6078871433151,157.46970182750883,3119.0,36.20032691626794,-20.564628932091942,22.362489895812857,0.5573755493728302,0.6391925223402526,0.628323932312651,0.3276120649854336,0.2971842883836446,0.2420647643475473,0.8651872399445215,-1,False,,
11,1194.6208897485494,618.9806576402322,1551.0,40.22484739360227,-30.643336792192244,35.016413954919706,0.4696713542278527,0.905225130968375,0.5201207243460765,0.438460164742459,0.45861197532251297,0.08768536428110896,0.7790055248618785,-1,False,,
12,1035.604190919674,14.70139697322468,1718.0,22.82075198012175,-10.720777343491976,6.976098777696149,0.49710739600468207,0.8498343612853965,0.6850079744816587,0.26870471703612847,0.15746476762612027,0.16414435389988358,0.8475579674395659,-1,False,,
13,1147.7087591240877,593.9036496350365,1370.0,39.22361640038092,-34.940703495686414,37.7013034148728,0.7081725989901997,0.7813506226994276,0.6676413255360624,0.5372006181817855,0.5688375774635016,0.03576642335766422,0.9448275862068966,-1,False,,
14,12.338915470494419,590.0223285486443,1254.0,68.74150768526941,-44.95128176299437,65.23419339942023,0.638049986112834,0.830869399218372,0.7084745762711865,0.2665318796415613,0.4793184084589021,0.20733652312599682,0.9193548387096774,-1,False,,
